rte,rte_desc,dir,dir_desc
101,EmX-101,0,Eugene Station > Gateway Station
101,EmX-101,1,Gateway Station > Eugene Station
102,EmX-102,0,Eugene Station > Gateway Station
102,EmX-102,1,Gateway Station > Eugene Station
1,01-Campbell Center,0,Eugene Station > 2nd & Mill
1,01-Campbell Center,1,2nd & Mill > Eugene Station
11,11-Thurston,0,Springfield Station > Thurston Station
11,11-Thurston,1,Thurston Station > Springfield Station
12,12-Gateway,0,Eugene Station > Gateway Station
12,12-Gateway,1,Gateway Station > Eugene Station
13,13-Centennial,0,Eugene Station > WinCo on Olympic
13,13-Centennial,1,WinCo on Olympic > Eugene Station
17,17-5th Street/Hayden Bridge,0,Springfield Station > Mohawk Mktplace on 19th
17,17-5th Street/Hayden Bridge,1,Mohawk Mktplace on 19th > Springfield Station
18,18-Mohawk,0,Springfield Station > Mohawk Mktplace
18,18-Mohawk,1,Mohawk Mktplace > Springfield Station
24,24-Donald,0,Eugene Station > Donald & Fox Hollow
24,24-Donald,1,Donald & Fox Hollow > Eugene Station
27,27-Fairmount,0,Eugene Station > Augusta & 26th
27,27-Fairmount,1,Augusta & 26th > Eugene Station
28,28-Hilyard,0,Eugene Station > W Amazon & Martin
28,28-Hilyard,1,W Amazon & Martin > Eugene Station
32,32-West 1st Ave,0,Eugene Station > 1st & Grimes
32,32-West 1st Ave,1,1st & Grimes > Eugene Station
33,33-Jefferson,0,Eugene Station > Chambers & 25th
33,33-Jefferson,1,Chambers & 25th > Eugene Station
36,36-West 18th Ave.,0,Eugene Station > Terry at Arrowsmith
36,36-West 18th Ave.,1,Terry at Arrowsmith > Eugene Station
40,40-Echo Hollow,0,Eugene Station > Wagner & Cubit
40,40-Echo Hollow,1,Wagner & Cubit > Eugene Station
41,41-Barger/West 11th Ave.,0,Eugene Station > Terry at Barger
41,41-Barger/West 11th Ave.,1,Terry at Barger > Eugene Station
43,43-West 11th Ave./Barger,0,Eugene Station > Barger at Terry
43,43-West 11th Ave./Barger,1,Barger at Terry > Eugene Station
51,51-River Road,0,Eugene Station > Wilkes & River Road
51,51-River Road,1,Wilkes & River Road > Eugene Station
52,52-Irving,0,Eugene Station > Irvington at Willowbrook
52,52-Irving,1,Irvington Drive at River Road > Eugene Station
55,55-North Park,0,Eugene Station > River Road Station
55,55-North Park,1,River Road Station > Eugene Station
66,66-VRC/Coburg Road,0,Eugene Station > Delta Oaks ~ Market of Choice
66,66-VRC/Coburg Road,1,Delta Oaks ~ Market of Choice > Eugene Station
67,67-Coburg Road/VRC,0,Eugene Station > Delta Oaks ~ Market of Choice
67,67-Coburg Road/VRC,1,Delta Oaks ~ Market of Choice > Goodpasture Isl Rd & Valley Riv Dr
73,73-UO/ Willamette,0,UO Station > Donald & Fox Hollow
73,73-UO/ Willamette,1,Donald & Fox Hollow > UO Station
76,76-UO/Warren,0,UO Station > Wilshire & Warren
76,76-UO/Warren,1,Wilshire & Warren > UO Station
78,78-UO/Seneca Station,0,UO Station > Seneca Sta (Fred Meyer)
78,78-UO/Seneca Station,1,Seneca St (Fred Meyer) > UO Station
79x,79x-UO/Kinsrow,0,UO Station > Garden Way & Kinsrow
79x,79x-UO/Kinsrow,1,Garden Way & Kinsrow > UO Station
81,81-LCC/Harris,0,Eugene Station > LCC Station
81,81-LCC/Harris,1,LCC Station > Eugene Station
82,82-LCC/Pearl,0,Eugene Station > LCC Station
82,82-LCC/Pearl,1,LCC Station > Eugene Station
85,85-LCC/Springfield,0,Springfield Station > LCC Station
85,85-LCC/Springfield,1,LCC Station > Springfield Station
91,91-McKenzie Bridge,0,Eugene Station > McKenzie River Ranger Sta.
91,91-McKenzie Bridge,1,McKenzie River Ranger Sta. > Eugene Station
92,92-Lowell,0,Eugene Station > Lowell
92,92-Lowell,1,Lowell > Eugene Station
93,93-Veneta,0,Eugene Station > Veneta Park and Ride
93,93-Veneta,1,Veneta Park and Ride > Eugene Station
95,95-Junction City,0,Eugene Station > Junction City
95,95-Junction City,1,Junction City > Eugene Station
96,96-Coburg,0,Eugene Station > Coburg Indust. Wy & Monaco
96,96-Coburg,1,Coburg Indust. Wy & Monaco > Eugene Station
98,98-Cottage Grove,0,Eugene Station > Wal-Mart Park & Ride
98,98-Cottage Grove,1,Wal-Mart Park & Ride > Eugene Station
